sku_id;product_name;category;unit_of_measure;lead_time_days;economic_order_quantity;shelf_life_days;cost_price;estabelecimento_recomendacao;comunidade_recomendacao;descricao_produto;store_recommendation;community_recommendation;product_description
2966373;Ball clove green vinyl homepet;cachorros toys;un;14;20;9999;72.24;O estabelecimento recomenda Bola Cravo Vinil Verde HomePet para brinquedos cachorros pela alta demanda e ótimo custo-benefício. Estoque geralmente reposto em 14 dias.;A comunidade de cuidadores de pets avalia em 5/5, elogiando qualidade e durabilidade do produto Bola Cravo Vinil Verde HomePet.;Bola Cravo Vinil Verde HomePet é um item da categoria brinquedos cachorros com validade de 9999 dias e custo aproximado de R$72.24. Ideal para atender às necessidades específicas do seu pet com segurança e conforto.;The store recommends Bola Cravo Vinil Verde HomePet for brinquedos cachorros due to high demand and great cost-benefit. Stock usually replenished in 14 days.;The pet caregivers community rates it 5/5, praising the quality and durability of the product Bola Cravo Vinil Verde HomePet.;Bola Cravo Vinil Verde HomePet belongs to the brinquedos cachorros category, with a shelf life of 9999 days and an approximate cost of $72.24. Perfect to meet your pet's specific needs with safety and comfort.
3110653;Ball with Pena Cat Toy LCM;gatty toys;un;8;50;9999;75.91;O estabelecimento recomenda Bolinha com Pena Cat Toy LCM para brinquedos gatos pela alta demanda e ótimo custo-benefício. Estoque geralmente reposto em 8 dias.;A comunidade de cuidadores de pets avalia em 4/5, elogiando qualidade e durabilidade do produto Bolinha com Pena Cat Toy LCM.;Bolinha com Pena Cat Toy LCM é um item da categoria brinquedos gatos com validade de 9999 dias e custo aproximado de R$75.91. Ideal para atender às necessidades específicas do seu pet com segurança e conforto.;The store recommends Bolinha com Pena Cat Toy LCM for brinquedos gatos due to high demand and great cost-benefit. Stock usually replenished in 8 days.;The pet caregivers community rates it 5/5, praising the quality and durability of the product Bolinha com Pena Cat Toy LCM.;Bolinha com Pena Cat Toy LCM belongs to the brinquedos gatos category, with a shelf life of 9999 days and an approximate cost of $75.91. Perfect to meet your pet's specific needs with safety and comfort.
3122490;Bona pet bone bovine knee;Snacks-Cachorros;un;5;150;180;23.6;O estabelecimento recomenda Rótula Bovina Bona Pet Osso para Cachorro para petiscos cachorros pela alta demanda e ótimo custo-benefício. Estoque geralmente reposto em 5 dias.;A comunidade de cuidadores de pets avalia em 5/5, elogiando qualidade e durabilidade do produto Rótula Bovina Bona Pet Osso para Cachorro.;Rótula Bovina Bona Pet Osso para Cachorro é um item da categoria petiscos cachorros com validade de 180 dias e custo aproximado de R$23.60. Ideal para atender às necessidades específicas do seu pet com segurança e conforto.;The store recommends Rótula Bovina Bona Pet Osso para Cachorro for petiscos cachorros due to high demand and great cost-benefit. Stock usually replenished in 5 days.;The pet caregivers community rates it 5/5, praising the quality and durability of the product Rótula Bovina Bona Pet Osso para Cachorro.;Rótula Bovina Bona Pet Osso para Cachorro belongs to the petiscos cachorros category, with a shelf life of 180 days and an approximate cost of $23.60. Perfect to meet your pet's specific needs with safety and comfort.
3121712;N&D Quinoa adult dogs Skin & Coat Fish;rackets-cachorros;kg;10;300;365;69.89;O estabelecimento recomenda Ração N&D Quinoa Cães Adultos Skin & Coat Peixe para racoes cachorros pela alta demanda e ótimo custo-benefício. Estoque geralmente reposto em 10 dias.;A comunidade de cuidadores de pets avalia em 5/5, elogiando qualidade e durabilidade do produto Ração N&D Quinoa Cães Adultos Skin & Coat Peixe.;Ração N&D Quinoa Cães Adultos Skin & Coat Peixe é um item da categoria racoes cachorros com validade de 365 dias e custo aproximado de R$69.89. Ideal para atender às necessidades específicas do seu pet com segurança e conforto.;The store recommends Ração N&D Quinoa Cães Adultos Skin & Coat Peixe for racoes cachorros due to high demand and great cost-benefit. Stock usually replenished in 10 days.;The pet caregivers community rates it 4.5/5, praising the quality and durability of the product Ração N&D Quinoa Cães Adultos Skin & Coat Peixe.;Ração N&D Quinoa Cães Adultos Skin & Coat Peixe belongs to the racoes cachorros category, with a shelf life of 365 days and an approximate cost of $69.89. Perfect to meet your pet's specific needs with safety and comfort.
3138824;Bandana Melância Emporium Distripet;CAUCHORROS CLOTHES;un;15;100;9999;57.08;O estabelecimento recomenda Bandana Melância Emporium Distripet para roupas acessorios cachorros pela alta demanda e ótimo custo-benefício. Estoque geralmente reposto em 15 dias.;A comunidade de cuidadores de pets avalia em 4/5, elogiando qualidade e durabilidade do produto Bandana Melância Emporium Distripet.;Bandana Melância Emporium Distripet é um item da categoria roupas acessorios cachorros com validade de 9999 dias e custo aproximado de R$57.08. Ideal para atender às necessidades específicas do seu pet com segurança e conforto.;The store recommends Bandana Melância Emporium Distripet for roupas acessorios cachorros due to high demand and great cost-benefit. Stock usually replenished in 15 days.;The pet caregivers community rates it 4.5/5, praising the quality and durability of the product Bandana Melância Emporium Distripet.;Bandana Melância Emporium Distripet belongs to the roupas acessorios cachorros category, with a shelf life of 9999 days and an approximate cost of $57.08. Perfect to meet your pet's specific needs with safety and comfort.
3137523;QUALIDIDA CATS ADULTS FEED RATION;rackets;kg;13;100;365;213.43;O estabelecimento recomenda Ração Qualiday Gatos Adultos Carne para racoes gatos pela alta demanda e ótimo custo-benefício. Estoque geralmente reposto em 13 dias.;A comunidade de cuidadores de pets avalia em 5/5, elogiando qualidade e durabilidade do produto Ração Qualiday Gatos Adultos Carne.;Ração Qualiday Gatos Adultos Carne é um item da categoria racoes gatos com validade de 365 dias e custo aproximado de R$213.43. Ideal para atender às necessidades específicas do seu pet com segurança e conforto.;The store recommends Ração Qualiday Gatos Adultos Carne for racoes gatos due to high demand and great cost-benefit. Stock usually replenished in 13 days.;The pet caregivers community rates it 4/5, praising the quality and durability of the product Ração Qualiday Gatos Adultos Carne.;Ração Qualiday Gatos Adultos Carne belongs to the racoes gatos category, with a shelf life of 365 days and an approximate cost of $213.43. Perfect to meet your pet's specific needs with safety and comfort.
3120563;Decorated decorated dotted boot shake;fish;un;6;100;730;181.37;O estabelecimento recomenda Enfeite Bota Hamster Decorado Trema para peixes pela alta demanda e ótimo custo-benefício. Estoque geralmente reposto em 6 dias.;A comunidade de cuidadores de pets avalia em 4.5/5, elogiando qualidade e durabilidade do produto Enfeite Bota Hamster Decorado Trema.;Enfeite Bota Hamster Decorado Trema é um item da categoria peixes com validade de 730 dias e custo aproximado de R$181.37. Ideal para atender às necessidades específicas do seu pet com segurança e conforto.;The store recommends Enfeite Bota Hamster Decorado Trema for peixes due to high demand and great cost-benefit. Stock usually replenished in 6 days.;The pet caregivers community rates it 4.5/5, praising the quality and durability of the product Enfeite Bota Hamster Decorado Trema.;Enfeite Bota Hamster Decorado Trema belongs to the peixes category, with a shelf life of 730 days and an approximate cost of $181.37. Perfect to meet your pet's specific needs with safety and comfort.
3137831;Kit Toy Anti -Restride Calopsit and Parakeets;passer;un;5;10;730;62.08;O estabelecimento recomenda Kit Brinquedo Antiestresse Papagaios Calopsitas e Periquitos para passaros pela alta demanda e ótimo custo-benefício. Estoque geralmente reposto em 5 dias.;A comunidade de cuidadores de pets avalia em 4/5, elogiando qualidade e durabilidade do produto Kit Brinquedo Antiestresse Papagaios Calopsitas e Periquitos.;Kit Brinquedo Antiestresse Papagaios Calopsitas e Periquitos é um item da categoria passaros com validade de 730 dias e custo aproximado de R$62.08. Ideal para atender às necessidades específicas do seu pet com segurança e conforto.;The store recommends Kit Brinquedo Antiestresse Papagaios Calopsitas e Periquitos for passaros due to high demand and great cost-benefit. Stock usually replenished in 5 days.;The pet caregivers community rates it 4/5, praising the quality and durability of the product Kit Brinquedo Antiestresse Papagaios Calopsitas e Periquitos.;Kit Brinquedo Antiestresse Papagaios Calopsitas e Periquitos belongs to the passaros category, with a shelf life of 730 days and an approximate cost of $62.08. Perfect to meet your pet's specific needs with safety and comfort.
2855533;Bath and Hygonic Grooming - Small;tub;un;8;100;730;48.09;O estabelecimento recomenda Banho e Tosa Higi�nica - Pequeno para banho tosa pela alta demanda e ótimo custo-benefício. Estoque geralmente reposto em 8 dias.;A comunidade de cuidadores de pets avalia em 4.5/5, elogiando qualidade e durabilidade do produto Banho e Tosa Higi�nica - Pequeno.;Banho e Tosa Higi�nica - Pequeno é um item da categoria banho tosa com validade de 730 dias e custo aproximado de R$48.09. Ideal para atender às necessidades específicas do seu pet com segurança e conforto.;The store recommends Banho e Tosa Higi�nica - Pequeno for banho tosa due to high demand and great cost-benefit. Stock usually replenished in 8 days.;The pet caregivers community rates it 5/5, praising the quality and durability of the product Banho e Tosa Higi�nica - Pequeno.;Banho e Tosa Higi�nica - Pequeno belongs to the banho tosa category, with a shelf life of 730 days and an approximate cost of $48.09. Perfect to meet your pet's specific needs with safety and comfort.
3142338;Premier Cookie Original Adult Cats;snacks;un;9;50;180;32.86;O estabelecimento recomenda Cookie Premier Gatos Adultos Original para petiscos gatos pela alta demanda e ótimo custo-benefício. Estoque geralmente reposto em 9 dias.;A comunidade de cuidadores de pets avalia em 4.5/5, elogiando qualidade e durabilidade do produto Cookie Premier Gatos Adultos Original.;Cookie Premier Gatos Adultos Original é um item da categoria petiscos gatos com validade de 180 dias e custo aproximado de R$32.86. Ideal para atender às necessidades específicas do seu pet com segurança e conforto.;The store recommends Cookie Premier Gatos Adultos Original for petiscos gatos due to high demand and great cost-benefit. Stock usually replenished in 9 days.;The pet caregivers community rates it 5/5, praising the quality and durability of the product Cookie Premier Gatos Adultos Original.;Cookie Premier Gatos Adultos Original belongs to the petiscos gatos category, with a shelf life of 180 days and an approximate cost of $32.86. Perfect to meet your pet's specific needs with safety and comfort.
